location,lat,lon,temp_c,humidity,wind_kph,pressure_mb,precip_mm,cloud,wave_height,is_severe
eThekwini,-29.8587,31.0218,17.062416076660156,71.20833587646484,41.794742584228516,1020.4874877929688,0.0,18.79166603088379,1.162500023841858,0
King Cetshwayo,-28.7606,31.89,19.461416244506836,63.29166793823242,63.1990966796875,1021.4667358398438,0.0,1.2916666269302368,0.0,0
Ugu,-30.4,30.0,14.79425048828125,39.875,46.457576751708984,1020.9833374023438,0.0,17.75,,0
iLembe,-29.2,31.4,18.345582962036133,63.875,48.785404205322266,1020.7792358398438,0.0,7.0,1.0391665697097778,0
uMzinyathi,-28.4,30.4,13.078999519348145,57.45833206176758,62.86602020263672,1022.9708862304688,0.0,14.875,0.0,0
eThekwini_synthetic,-29.848699999999997,31.0318,20.0,50.0,10.0,1013.0,0.0,20.0,0.0,0
King Cetshwayo_synthetic,-28.7506,31.900000000000002,20.0,50.0,10.0,1013.0,0.0,20.0,0.0,0
Ugu_synthetic,-30.389999999999997,30.01,20.0,50.0,10.0,1013.0,0.0,20.0,0.0,0
iLembe_synthetic,-29.189999999999998,31.41,20.0,50.0,10.0,1013.0,0.0,20.0,0.0,0
uMzinyathi_synthetic,-28.389999999999997,30.41,20.0,50.0,10.0,1013.0,0.0,20.0,0.0,0
